what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188507918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332188670009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188671543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188677303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188679686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188715588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332188740148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188741782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188761617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332188786640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188787551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188789168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188790237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188833443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332188910053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332188913749
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188915122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188949785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332188959132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332188963425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332188972961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188974573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332188992557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332189036811
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332189038392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332189071455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332189073587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332189081541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332189089655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332189092132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332189124506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332189141890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332189143168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332189150809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332189152321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332189153199
