what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1332231085800
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1332231085875
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231092479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332231104375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332231110747
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332231112217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1332231112424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1332231116243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231116256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231129384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332231131358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231132637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231158624
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1332231158695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332231172125
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231174180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332231177954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332231179635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231181130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231202157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332231206278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231207277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231218695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332231219970
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1332231221094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332231225479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332231229160
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231230618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332231235673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231237480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231246346
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1332231246417
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332231264400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332231267788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231269043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231833853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332231929770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332232048326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332232049647
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1332232050539
